question	gold	predicted	correct	predicted probabilities
question 0	4	4	1	[0.00940285 0.24175921 0.09825917 0.1263418  0.524237  ]
question 1	2	2	1	[0.12867321 0.09877577 0.5765725  0.18989956 0.00607891]
question 2	2	2	1	[0.06462128 0.07491166 0.50382686 0.29186168 0.06477851]
question 3	3	2	0	[0.12443957 0.12127644 0.40623578 0.17811364 0.16993462]
question 4	2	0	0	[0.56941575 0.08205394 0.2392032  0.10667594 0.00265114]
question 5	4	4	1	[1.0677115e-03 5.9855619e-04 2.0873162e-03 5.0758733e-04 9.9573886e-01]
question 6	4	4	1	[3.0414117e-04 1.2483656e-04 2.3371644e-05 7.7585035e-05 9.9947006e-01]
question 7	2	4	0	[0.19124675 0.2068583  0.18022805 0.18022798 0.24143887]
question 8	0	0	1	[0.5211953  0.02745938 0.3891968  0.04062787 0.02152066]
question 9	3	2	0	[0.26788118 0.02246126 0.3794549  0.03215292 0.29804978]
question 10	2	2	1	[4.4716135e-02 6.4371730e-04 9.2178851e-01 2.7194303e-03 3.0132212e-02]
question 11	3	3	1	[0.0389436  0.00741814 0.00309805 0.94690365 0.00363658]
question 12	2	3	0	[0.10673361 0.09097155 0.2562609  0.5316883  0.01434575]
question 13	2	3	0	[0.03150567 0.12499478 0.12997337 0.6935284  0.01999776]
question 14	1	1	1	[0.05656923 0.5665843  0.3413945  0.01129825 0.02415373]
question 15	0	0	1	[0.8124862  0.06327917 0.00414055 0.05823409 0.06186006]
question 16	2	2	1	[0.17896013 0.02924988 0.50099427 0.22657488 0.06422077]
question 17	2	2	1	[0.05481564 0.04517335 0.88981926 0.00509193 0.00509987]
question 18	3	0	0	[0.6978066  0.02185018 0.01537316 0.2547514  0.01021865]
question 19	2	2	1	[1.4078437e-03 3.7435130e-03 9.9417639e-01 6.3389380e-05 6.0880149e-04]
question 20	4	4	1	[0.11834666 0.0407948  0.00262793 0.11096639 0.7272642 ]
question 21	1	0	0	[0.46835285 0.46215773 0.03285115 0.01384672 0.02279154]
question 22	2	2	1	[0.00723889 0.01429853 0.90497553 0.01621296 0.05727402]
question 23	0	0	1	[0.2873999  0.16169679 0.28177655 0.085834   0.1832927 ]
question 24	0	2	0	[0.21675427 0.0060246  0.67323446 0.00830683 0.0956798 ]
question 25	2	2	1	[0.00566491 0.04078569 0.5302777  0.00316412 0.42010754]
question 26	3	3	1	[8.5414329e-04 7.7562424e-04 7.9345185e-04 9.9545985e-01 2.1169384e-03]
question 27	0	0	1	[0.6993599  0.02258065 0.22560586 0.01077374 0.04167989]
question 28	1	1	1	[0.05371798 0.9137482  0.00199682 0.00179879 0.0287382 ]
question 29	1	1	1	[0.15377562 0.48904303 0.00539623 0.2537106  0.0980745 ]
question 30	3	3	1	[5.5175222e-04 2.5663694e-05 6.9537142e-04 9.9800819e-01 7.1900862e-04]
question 31	4	4	1	[0.00900218 0.00319611 0.01418664 0.00161902 0.97199607]
question 32	4	4	1	[0.00523437 0.01573524 0.02626383 0.00610874 0.9466579 ]
question 33	2	2	1	[0.09100247 0.1044074  0.61980706 0.12676835 0.05801471]
question 34	4	3	0	[0.01019415 0.01269037 0.02888882 0.92012715 0.02809953]
question 35	0	0	1	[0.5857167  0.30800354 0.02020623 0.0013563  0.08471724]
question 36	4	4	1	[2.4694632e-04 2.1182885e-04 2.0601287e-01 2.5797269e-01 5.3555566e-01]
question 37	0	0	1	[9.7606111e-01 9.8618057e-06 2.3832766e-02 4.5726818e-05 5.0496081e-05]
question 38	3	3	1	[0.18533096 0.2208033  0.14777038 0.41011593 0.03597949]
question 39	0	0	1	[0.4638725  0.16901752 0.00940599 0.01138576 0.34631827]
question 40	3	3	1	[0.05086292 0.35783413 0.01881675 0.48210728 0.09037887]
question 41	3	3	1	[0.0066117  0.06882846 0.01993114 0.9026401  0.00198867]
question 42	3	3	1	[2.3349980e-04 5.9773633e-04 6.7877793e-04 9.9762255e-01 8.6738192e-04]
question 43	1	1	1	[7.0248716e-05 9.9975151e-01 3.7980601e-05 7.5240270e-05 6.5087588e-05]
question 44	3	2	0	[9.9858164e-04 5.2563427e-04 8.9327967e-01 1.0285101e-01 2.3450104e-03]
question 45	0	0	1	[0.22307783 0.18463965 0.20792605 0.19073917 0.19361728]
question 46	1	1	1	[2.3356659e-02 9.5019025e-01 2.6519367e-04 9.7989393e-03 1.6388904e-02]
question 47	2	2	1	[1.8776057e-02 2.4577074e-01 6.3005728e-01 1.0509404e-01 3.0197235e-04]
question 48	2	2	1	[0.00621752 0.00338882 0.97399193 0.01290927 0.0034924 ]
question 49	0	0	1	[0.43563932 0.04213776 0.03953845 0.04704519 0.43563932]
question 50	3	4	0	[0.11269602 0.00256021 0.0452268  0.25352997 0.5859869 ]
question 51	4	4	1	[0.0272004  0.00735749 0.04345451 0.03015272 0.8918349 ]
question 52	1	1	1	[8.0735853e-04 9.8408443e-01 7.2460794e-03 3.6525561e-03 4.2096809e-03]
question 53	1	1	1	[8.2037045e-04 9.7375023e-01 8.2103154e-03 9.0904515e-03 8.1286272e-03]
question 54	4	1	0	[0.1614867  0.25856286 0.17142452 0.1730646  0.2354613 ]
question 55	3	4	0	[0.22093916 0.19826062 0.22896662 0.1000962  0.25173745]
question 56	1	1	1	[0.25040504 0.3152974  0.08934566 0.22488707 0.1200648 ]
question 57	2	2	1	[0.11519043 0.1354409  0.42790174 0.17391558 0.14755131]
question 58	1	1	1	[0.02969421 0.3553439  0.28610843 0.13319342 0.19565997]
question 59	1	1	1	[0.02179906 0.79163975 0.07122486 0.03183341 0.08350289]
question 60	0	0	1	[0.9078873  0.0012491  0.00107573 0.08809075 0.00169712]
question 61	1	1	1	[0.07784371 0.74746335 0.11813613 0.05283045 0.00372634]
question 62	0	0	1	[0.48970577 0.03549662 0.0114938  0.00368832 0.4596155 ]
question 63	4	4	1	[0.04847955 0.15418878 0.13063169 0.05050813 0.6161918 ]
question 64	2	2	1	[0.01830872 0.0266437  0.6303505  0.02280725 0.30188996]
question 65	2	2	1	[3.7363312e-05 1.1764856e-04 9.9566734e-01 1.6796921e-03 2.4979180e-03]
question 66	2	1	0	[0.13995984 0.7351394  0.05198197 0.02571041 0.04720828]
