question	gold	predicted	correct	predicted probabilities
question 0	4	4	1	[1.1666275e-04 4.8302330e-02 1.2030164e-02 1.3239770e-02 9.2631108e-01]
question 1	2	2	1	[0.01265848 0.09169809 0.8729294  0.02166192 0.00105206]
question 2	2	3	0	[0.00344589 0.00283225 0.42485848 0.53729403 0.03156942]
question 3	3	1	0	[0.16017272 0.25382483 0.23463131 0.13333811 0.21803296]
question 4	2	0	0	[0.7226921  0.01255404 0.23439856 0.02840478 0.00195059]
question 5	4	4	1	[2.0564682e-04 9.1634225e-05 1.0837348e-03 1.3427204e-04 9.9848479e-01]
question 6	4	4	1	[1.6363429e-04 1.6162081e-05 1.4796229e-06 1.8902497e-06 9.9981683e-01]
question 7	2	3	0	[0.00820688 0.00474507 0.3732481  0.5439931  0.06980678]
question 8	0	0	1	[0.5293098  0.02953955 0.42226526 0.00736949 0.01151588]
question 9	3	0	0	[0.7015949  0.00144978 0.04915737 0.02429667 0.22350128]
question 10	2	2	1	[1.2820932e-01 6.6066401e-05 7.5303417e-01 6.6423054e-06 1.1868376e-01]
question 11	3	3	1	[3.24612595e-02 4.13455442e-03 1.24798855e-02 9.50357258e-01 5.67045703e-04]
question 12	2	2	1	[0.00506865 0.00408833 0.973873   0.01358685 0.00338325]
question 13	2	2	1	[0.01777045 0.00770464 0.797326   0.01321217 0.1639867 ]
question 14	1	1	1	[0.13958794 0.83578587 0.01476351 0.00170737 0.00815543]
question 15	0	0	1	[9.3726617e-01 2.3781851e-02 2.7323759e-04 5.4464717e-03 3.3232439e-02]
question 16	2	2	1	[0.06629478 0.03759537 0.6620881  0.19015989 0.0438618 ]
question 17	2	2	1	[0.07077323 0.01026943 0.9036631  0.00213151 0.01316267]
question 18	3	3	1	[7.6058134e-02 3.7571171e-04 8.7456289e-04 9.2175537e-01 9.3620206e-04]
question 19	2	2	1	[2.6684691e-04 2.2897970e-04 9.9923801e-01 1.6510082e-06 2.6460775e-04]
question 20	4	4	1	[1.2521845e-01 9.2882931e-02 8.7335939e-05 2.5577957e-03 7.7925354e-01]
question 21	1	1	1	[0.05846369 0.45305187 0.36118674 0.04665526 0.08064251]
question 22	2	2	1	[0.01010433 0.00716093 0.88454115 0.00566163 0.09253205]
question 23	0	0	1	[0.8830819  0.03433536 0.06146621 0.00297787 0.01813856]
question 24	0	2	0	[0.07541557 0.00143259 0.808127   0.00793168 0.10709315]
question 25	2	2	1	[0.01560481 0.01222099 0.6522219  0.00181034 0.31814188]
question 26	3	3	1	[6.3803571e-07 2.5115727e-07 1.3254562e-05 9.9998188e-01 3.8784706e-06]
question 27	0	0	1	[8.57317805e-01 2.96818987e-02 3.48268938e-03 2.51738529e-04 1.09265886e-01]
question 28	1	1	1	[2.5887918e-03 9.9529183e-01 1.5432943e-04 8.3042600e-05 1.8820360e-03]
question 29	1	1	1	[0.01157632 0.9318284  0.0022629  0.03392201 0.02041038]
question 30	3	3	1	[2.2711142e-03 4.1270029e-04 1.7472822e-02 9.5836401e-01 2.1479322e-02]
question 31	4	4	1	[0.02644015 0.01038166 0.03831524 0.01493738 0.9099255 ]
question 32	4	4	1	[3.6782814e-05 6.6733925e-04 5.3588394e-04 3.1998160e-04 9.9843997e-01]
question 33	2	2	1	[0.00576542 0.10392847 0.7587096  0.06513649 0.06646005]
question 34	4	3	0	[0.36543736 0.00494431 0.01327474 0.42645198 0.18989162]
question 35	0	0	1	[0.6772725  0.20179221 0.05523646 0.01402331 0.05167541]
question 36	4	4	1	[1.8280107e-05 2.2969250e-05 3.5181504e-02 4.2719811e-02 9.2205739e-01]
question 37	0	0	1	[8.0493873e-01 3.1453987e-05 1.9404925e-01 7.9693948e-04 1.8356372e-04]
question 38	3	3	1	[8.6047120e-02 6.3357621e-02 9.1464393e-02 7.5840569e-01 7.2514825e-04]
question 39	0	0	1	[0.75186414 0.04334537 0.07065331 0.00409483 0.13004239]
question 40	3	3	1	[0.045649   0.16143045 0.00884017 0.63370013 0.15038028]
question 41	3	3	1	[0.0422832  0.08437824 0.3032249  0.56435275 0.00576083]
question 42	3	3	1	[1.3357018e-06 2.1035114e-04 1.1756071e-04 9.9963737e-01 3.3390508e-05]
question 43	1	1	1	[9.7664088e-05 9.9916089e-01 3.6606645e-05 6.2787789e-04 7.7108423e-05]
question 44	3	2	0	[9.870494e-05 5.071141e-04 9.189922e-01 8.009814e-02 3.037967e-04]
question 45	0	0	1	[0.3793951  0.1299479  0.13706987 0.16615328 0.18743378]
question 46	1	0	0	[6.3919359e-01 2.6418912e-01 4.5225046e-05 9.8640658e-03 8.6708009e-02]
question 47	2	2	1	[4.3216590e-03 7.0263548e-03 9.8193353e-01 6.6677043e-03 5.0734430e-05]
