question	gold	predicted	correct	predicted probabilities
question 0	4	1	0	[0.01359638 0.7940757  0.02978683 0.03469701 0.12784402]
question 1	2	2	1	[0.11390454 0.1968651  0.60432506 0.06018804 0.02471729]
question 2	2	2	1	[0.04176534 0.07876502 0.41463614 0.39003798 0.07479552]
question 3	3	2	0	[0.16144453 0.22751135 0.28034338 0.22155482 0.10914592]
question 4	2	0	0	[0.64424074 0.06385242 0.18179773 0.09357237 0.01653675]
question 5	4	4	1	[0.00769679 0.00297078 0.00641616 0.00287146 0.9800448 ]
question 6	4	4	1	[8.5152118e-03 4.1023693e-03 1.6314712e-04 2.9331690e-04 9.8692596e-01]
question 7	2	4	0	[0.24090117 0.11248105 0.15469775 0.18194018 0.30997983]
question 8	0	2	0	[0.3756449  0.08553068 0.3807333  0.07145683 0.08663423]
question 9	3	0	0	[0.3525662  0.0363087  0.31148952 0.04776236 0.25187322]
question 10	2	2	1	[0.1641007  0.00393563 0.69969904 0.0116962  0.12056842]
question 11	3	3	1	[7.0946763e-04 4.3908841e-04 1.6273423e-04 9.9850804e-01 1.8070334e-04]
question 12	2	2	1	[0.04112264 0.03337716 0.8722093  0.04824724 0.00504375]
question 13	2	2	1	[0.05443198 0.02800534 0.7696628  0.0646291  0.08327082]
question 14	1	1	1	[0.0735799  0.9048152  0.0050643  0.01055251 0.00598805]
question 15	0	0	1	[0.5508175  0.15276039 0.00701868 0.05615218 0.23325126]
question 16	2	2	1	[0.02680724 0.01578957 0.9025932  0.02039652 0.03441359]
question 17	2	2	1	[0.18316483 0.01625569 0.75828725 0.02007965 0.02221255]
question 18	3	0	0	[0.7359326  0.01657248 0.01463205 0.21481006 0.0180528 ]
question 19	2	2	1	[0.02690534 0.06005598 0.9027353  0.00243121 0.00787221]
question 20	4	4	1	[0.14058447 0.10259801 0.00102144 0.00453649 0.75125957]
question 21	1	1	1	[0.07949831 0.7842473  0.03933538 0.02664188 0.07027713]
question 22	2	2	1	[0.08899374 0.07652434 0.62562567 0.09537296 0.11348335]
question 23	0	0	1	[0.58751285 0.06931125 0.16820778 0.02600956 0.14895862]
question 24	0	2	0	[0.13637996 0.05183477 0.44231638 0.07630355 0.29316527]
question 25	2	2	1	[0.10630708 0.06058306 0.3625131  0.14829047 0.32230636]
question 26	3	3	1	[0.00345914 0.00387405 0.01291184 0.9758655  0.00388943]
question 27	0	0	1	[0.7775759  0.09762762 0.0333235  0.00701628 0.08445666]
question 28	1	1	1	[0.01004039 0.9706707  0.002495   0.00208191 0.01471192]
question 29	1	1	1	[0.06492887 0.76839477 0.01172652 0.0949551  0.05999473]
question 30	3	3	1	[0.04178716 0.00600956 0.0844262  0.71397746 0.15379965]
question 31	4	4	1	[0.00768409 0.00184936 0.01402827 0.00760009 0.9688382 ]
question 32	4	4	1	[0.00460047 0.0124988  0.0069057  0.04079378 0.9352012 ]
question 33	2	2	1	[0.06508452 0.11861343 0.5576769  0.17549519 0.08312993]
question 34	4	0	0	[0.6516397  0.03287738 0.03403323 0.16920508 0.11224462]
question 35	0	0	1	[0.5164139  0.2600109  0.03879028 0.01281502 0.17196988]
question 36	4	4	1	[0.00340694 0.00611848 0.21739401 0.23988204 0.53319854]
question 37	0	0	1	[0.8245645  0.0015201  0.16330963 0.00471221 0.00589348]
question 38	3	0	0	[0.36555964 0.02388286 0.36036423 0.2457017  0.00449158]
question 39	0	0	1	[0.55275726 0.17764439 0.02310099 0.00399527 0.24250205]
question 40	3	1	0	[0.1591091  0.3411628  0.06820482 0.28844172 0.14308149]
question 41	3	3	1	[0.02487363 0.02595215 0.14879863 0.7862629  0.01411267]
question 42	3	3	1	[9.5473049e-04 1.6431019e-02 1.1134612e-02 9.6337509e-01 8.1045432e-03]
question 43	1	1	1	[8.3351260e-05 9.9968123e-01 9.8191937e-05 6.5682718e-05 7.1605304e-05]
question 44	3	2	0	[0.00203064 0.00287629 0.57483745 0.4173895  0.00286611]
question 45	0	0	1	[0.8165475  0.04432141 0.04573557 0.04985881 0.04353659]
question 46	1	0	0	[0.6477277  0.16746017 0.00480401 0.00824747 0.17176063]
question 47	2	2	1	[0.276616   0.09943677 0.51861274 0.08251086 0.02282359]
question 48	2	2	1	[0.0057656  0.01951222 0.84259355 0.11764019 0.0144885 ]
question 49	0	4	0	[0.48029736 0.00812677 0.00964908 0.01646341 0.48546332]
question 50	3	3	1	[0.23627415 0.00489067 0.0065312  0.723235   0.02906898]
question 51	4	4	1	[0.04330711 0.01739905 0.1100274  0.1419207  0.68734574]
question 52	1	1	1	[0.00250056 0.91048074 0.02447385 0.03629052 0.02625435]
question 53	1	1	1	[0.00385536 0.89593375 0.06508907 0.02516582 0.00995588]
question 54	4	4	1	[0.19453664 0.22795144 0.18411571 0.15880844 0.23458768]
question 55	3	3	1	[0.18797988 0.15646827 0.23361601 0.24119595 0.18073986]
question 56	1	1	1	[0.09954309 0.765532   0.02474653 0.07887073 0.03130772]
question 57	2	2	1	[0.09821104 0.05181288 0.72450656 0.03369609 0.0917734 ]
question 58	1	1	1	[0.05777485 0.30753568 0.22082873 0.23815572 0.175705  ]
question 59	1	1	1	[0.12106581 0.55452245 0.11486874 0.13669407 0.07284898]
question 60	0	0	1	[0.9538832  0.0030304  0.00158464 0.0389007  0.00260109]
question 61	1	1	1	[0.0772329  0.8398673  0.06531157 0.00294919 0.01463901]
question 62	0	0	1	[0.50421673 0.08234215 0.01426778 0.00968449 0.3894889 ]
question 63	4	4	1	[0.06082517 0.11533811 0.11876423 0.1118101  0.5932624 ]
question 64	2	2	1	[0.0315871  0.12253951 0.6197575  0.11232724 0.11378864]
question 65	2	2	1	[0.00238269 0.00153199 0.93575484 0.01363568 0.04669481]
question 66	2	1	0	[0.13531075 0.5286945  0.2096821  0.04753723 0.07877536]
question 67	1	0	0	[0.57569253 0.3516957  0.0137084  0.05181996 0.00708342]
question 68	2	2	1	[0.11085818 0.20255394 0.49266553 0.14434054 0.04958177]
question 69	1	1	1	[0.07477797 0.8603092  0.02484669 0.03386687 0.00619941]
question 70	2	2	1	[0.02223531 0.10181516 0.83974683 0.01641523 0.01978747]
question 71	4	4	1	[0.03125017 0.02382934 0.03760083 0.31560624 0.5917134 ]
question 72	3	3	1	[0.08351299 0.04776959 0.04284514 0.76795286 0.05791935]
question 73	1	1	1	[0.02368799 0.9598298  0.00525114 0.00550732 0.0057238 ]
question 74	4	4	1	[0.07978753 0.08099686 0.21841778 0.2518655  0.36893234]
question 75	3	3	1	[0.00218025 0.00125424 0.00361571 0.99184906 0.00110074]
question 76	1	1	1	[0.28901106 0.54014885 0.05304416 0.03957097 0.07822493]
question 77	4	0	0	[0.46976966 0.15448685 0.05425316 0.01209918 0.30939114]
question 78	0	1	0	[0.08710395 0.7434972  0.04901544 0.08807361 0.03230994]
question 79	1	4	0	[0.12785551 0.14154825 0.11170658 0.1675207  0.45136896]
question 80	1	2	0	[0.08180659 0.33905265 0.49038443 0.04736512 0.04139125]
question 81	4	4	1	[0.05887431 0.0964651  0.25790897 0.11626067 0.47049096]
question 82	0	3	0	[0.37479994 0.00706421 0.01346047 0.5984738  0.00620154]
question 83	1	0	0	[0.62939304 0.00838335 0.2683776  0.03685235 0.05699374]
question 84	4	0	0	[0.80853134 0.01655204 0.00809224 0.03968461 0.12713973]
question 85	2	2	1	[0.39391175 0.05385894 0.521034   0.01320869 0.01798661]
question 86	4	2	0	[0.16141494 0.18820181 0.38990507 0.15165696 0.10882123]
question 87	0	0	1	[0.94216114 0.02516852 0.00971091 0.01405738 0.00890209]
question 88	0	2	0	[0.22008741 0.1672166  0.31168345 0.11572396 0.18528862]
question 89	4	3	0	[0.05356995 0.07623926 0.13324371 0.44114646 0.29580063]
question 90	2	2	1	[0.02373757 0.01591535 0.91977054 0.017835   0.02274154]
question 91	1	1	1	[0.00382365 0.801091   0.01031803 0.17402363 0.01074364]
question 92	3	3	1	[0.02117332 0.02335551 0.03748751 0.88107246 0.03691125]
question 93	1	4	0	[0.02639976 0.47461453 0.00699529 0.01548813 0.47650233]
question 94	3	2	0	[0.22011544 0.17844978 0.22702491 0.16759022 0.20681961]
question 95	3	3	1	[0.00403303 0.0042875  0.01145569 0.9769694  0.00325435]
question 96	4	4	1	[0.11408816 0.18797395 0.07892784 0.19645858 0.42255145]
question 97	4	3	0	[0.10151692 0.22475694 0.12775728 0.36147267 0.18449616]
question 98	3	2	0	[0.2627101  0.0024897  0.41892734 0.31410888 0.00176394]
question 99	4	4	1	[0.02849908 0.15929393 0.17615832 0.12575464 0.51029396]
question 100	2	2	1	[0.06055071 0.02011763 0.81292593 0.01505917 0.09134652]
question 101	4	4	1	[0.00931469 0.00153389 0.01276036 0.3310878  0.64530325]
question 102	3	3	1	[2.0852766e-04 1.3957313e-03 5.7813036e-04 9.9759609e-01 2.2155356e-04]
question 103	0	0	1	[9.0557039e-01 3.2070439e-02 5.9654098e-02 1.8483828e-03 8.5677719e-04]
question 104	1	1	1	[0.00337069 0.98029274 0.00734476 0.00462449 0.00436728]
question 105	4	4	1	[0.00180321 0.00188488 0.00271311 0.01340804 0.9801908 ]
question 106	1	1	1	[0.00859898 0.9200995  0.00761785 0.06162103 0.00206274]
question 107	2	2	1	[0.01830868 0.01379312 0.8502157  0.02286442 0.09481806]
question 108	2	2	1	[0.06854353 0.22681859 0.60894763 0.0299759  0.06571437]
question 109	3	3	1	[8.3577698e-03 1.2622636e-03 1.9363016e-03 9.8772395e-01 7.1973697e-04]
question 110	0	1	0	[0.26178256 0.6949429  0.01302226 0.02716752 0.00308473]
question 111	3	3	1	[0.03609389 0.2720168  0.12548171 0.32767805 0.2387295 ]
question 112	0	0	1	[0.44812715 0.1862362  0.12418025 0.12128612 0.12017024]
question 113	3	3	1	[0.01296632 0.01457497 0.11061278 0.6342008  0.22764511]
question 114	4	4	1	[0.22681378 0.24644595 0.01327299 0.01554429 0.4979231 ]
question 115	1	1	1	[0.18339469 0.4491266  0.04061925 0.26649418 0.06036529]
question 116	3	1	0	[0.22808877 0.45150608 0.01767029 0.29666936 0.00606555]
question 117	4	4	1	[0.00343906 0.01952667 0.01257778 0.00359234 0.9608641 ]
question 118	1	1	1	[0.04631029 0.73021215 0.1119859  0.07778961 0.03370205]
question 119	4	4	1	[0.00177012 0.00349058 0.00946375 0.00136718 0.98390836]
question 120	2	2	1	[9.4991614e-04 2.7267474e-03 9.8255450e-01 1.6282672e-03 1.2140602e-02]
question 121	4	4	1	[0.00230026 0.00667444 0.06674566 0.03157391 0.8927057 ]
question 122	2	2	1	[1.1904151e-03 8.0553396e-04 9.9476153e-01 8.8393386e-04 2.3586648e-03]
question 123	0	0	1	[0.87851036 0.0229496  0.0309557  0.04188656 0.0256978 ]
question 124	1	1	1	[3.9370565e-04 9.4010419e-01 8.4250938e-04 2.1048428e-03 5.6554709e-02]
question 125	1	1	1	[0.02705901 0.44921103 0.2079118  0.31427512 0.00154303]
question 126	2	2	1	[0.11227963 0.1247472  0.5233662  0.11651156 0.12309542]
question 127	2	2	1	[0.01773818 0.02481677 0.83483124 0.092962   0.02965176]
question 128	3	4	0	[0.02047809 0.00640544 0.02473259 0.41580546 0.5325784 ]
question 129	3	1	0	[0.12332948 0.3465077  0.15690236 0.17135651 0.20190395]
question 130	3	3	1	[0.0318415  0.01754363 0.01028006 0.9350985  0.00523628]
question 131	4	0	0	[0.46764746 0.04517133 0.0654071  0.1918046  0.22996953]
question 132	2	2	1	[5.2620857e-03 5.6989060e-04 9.8964685e-01 2.4726191e-03 2.0485071e-03]
question 133	2	2	1	[0.07526694 0.05842683 0.7347336  0.1055022  0.02607043]
question 134	0	0	1	[0.9227273  0.03271675 0.02060938 0.01026452 0.01368205]
question 135	1	1	1	[0.01029556 0.7646512  0.00619588 0.21680528 0.00205217]
question 136	4	4	1	[1.7987078e-03 4.1600276e-04 1.0590266e-03 6.3435116e-04 9.9609190e-01]
question 137	4	4	1	[0.00203617 0.00261766 0.00272368 0.00609041 0.98653215]
question 138	2	2	1	[1.0865636e-03 6.1734678e-04 9.9210948e-01 3.5234049e-03 2.6632324e-03]
question 139	2	2	1	[0.01014999 0.03361895 0.8691912  0.00957421 0.07746566]
question 140	4	3	0	[0.02229811 0.03496492 0.03590463 0.46943185 0.43740055]
question 141	3	3	1	[0.00390172 0.0088083  0.00433545 0.98103744 0.00191702]
question 142	0	0	1	[0.89238775 0.00436725 0.00671684 0.01275482 0.08377326]
question 143	2	2	1	[0.00689607 0.00636103 0.96708035 0.00978167 0.00988086]
question 144	2	2	1	[0.01572371 0.0036159  0.90890217 0.02456172 0.04719639]
question 145	2	4	0	[1.9868782e-03 3.0786214e-02 1.9952592e-01 6.2858639e-04 7.6707244e-01]
question 146	0	0	1	[0.96875453 0.0030781  0.01544402 0.00825262 0.00447079]
question 147	3	3	1	[0.0169763  0.01984305 0.00977603 0.93970656 0.01369808]
question 148	0	0	1	[9.4030106e-01 3.9087553e-02 5.1574362e-04 1.4236289e-02 5.8592898e-03]
question 149	3	3	1	[0.0039181  0.02191949 0.00213463 0.97004145 0.00198634]
question 150	2	2	1	[7.3198281e-04 3.6115702e-02 9.3002272e-01 8.4707923e-03 2.4658794e-02]
question 151	1	1	1	[0.08298426 0.77899164 0.03853229 0.0772266  0.02226523]
question 152	0	0	1	[0.7336302  0.02657149 0.05380329 0.02823363 0.15776137]
question 153	0	0	1	[0.691061   0.00440274 0.0169548  0.28238255 0.00519884]
