,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,ending4,label
0,tt2614684,0,"Sensing danger, Hook flees the apartment, taking with him a sheathed blade. Why does Hook leave Eamon's apartment?","Sensing danger, Hook flees the apartment, taking with him a sheathed blade. ",Why does Hook leave Eamon's apartment?,"Sensing danger, Hook flees the apartment, taking with him a sheathed blade. ",Because he is warned it's not safe.,Because he wants to get some fresh air.,Because he is called away.,Because he has to get some stuff.,Because he senses danger.,4
1,tt2614684,1,"Sensing danger, Hook flees the apartment, taking with him a sheathed blade. What does Hook take from Eamon's apartment as he flees?","Sensing danger, Hook flees the apartment, taking with him a sheathed blade. ",What does Hook take from Eamon's apartment as he flees?,"Sensing danger, Hook flees the apartment, taking with him a sheathed blade. ",A gun and a pack of bullets.,A few bullets.,Food and water supplies.,A knife and a sword.,A sheathed blade.,4
2,tt2614684,2,"Moving painfully through the apartment complex halls and stairways, he eludes the IRA men who have separated to search for him. Finally, unable to get away from Haggerty, who is about to come around a corner and discover him, Hook stabs him. What does Hook do to avoid being discovered by Haggerty?","Moving painfully through the apartment complex halls and stairways, he eludes the IRA men who have separated to search for him. Finally, unable to get away from Haggerty, who is about to come around a corner and discover him, Hook stabs him. ",What does Hook do to avoid being discovered by Haggerty?,"Moving painfully through the apartment complex halls and stairways, he eludes the IRA men who have separated to search for him. Finally, unable to get away from Haggerty, who is about to come around a corner and discover him, Hook stabs him. ",He jumps on him.,He hides in a bin.,He stabs him.,He shoots him.,He blinds him with a flashlight.,2
3,tt2614684,3,"As the wounded man lies dying, Hook reaches down and grasps his shoulder, sharing strength and sympathy as they hold each other's gaze and the IRA man dies. What does Hook do after stabbing Haggerty?","As the wounded man lies dying, Hook reaches down and grasps his shoulder, sharing strength and sympathy as they hold each other's gaze and the IRA man dies. ",What does Hook do after stabbing Haggerty?,"As the wounded man lies dying, Hook reaches down and grasps his shoulder, sharing strength and sympathy as they hold each other's gaze and the IRA man dies. ",He comforts Haggerty for a while and then goes away.,He holds him in his arms while Haggerty slowly dies.,He grasps his shoulder and looks him in the eyes.,He runes away and cries for help.,He waits until Haggerty dies and then closes his eyes.,2
4,tt2614684,4,Quinn and his IRA squad have been tailing Boyle since the pub explosion and saw him visit Eamon's apartment without knowing why he was there. Who has followed Boyle to Eamon's apartment?,Quinn and his IRA squad have been tailing Boyle since the pub explosion and saw him visit Eamon's apartment without knowing why he was there. ,Who has followed Boyle to Eamon's apartment?,Quinn and his IRA squad have been tailing Boyle since the pub explosion and saw him visit Eamon's apartment without knowing why he was there. ,Thommo and his IRA squad.,Darren and his IRE squad.,Gary and his allies.,Quinn and his IRA squad.,Jimmy and his friends.,3
5,tt2614684,5,"A Protestant youngster brings Hook to a local pub that serves as a front for the Loyalists, where he glimpses a Loyalist group in a back room constructing a bomb under the guidance of the Military Reaction Force, the covert counter-insurgency unit of the British Army. Who is helping the Loyalists make the bomb?","A Protestant youngster brings Hook to a local pub that serves as a front for the Loyalists, where he glimpses a Loyalist group in a back room constructing a bomb under the guidance of the Military Reaction Force, the covert counter-insurgency unit of the British Army. ",Who is helping the Loyalists make the bomb?,"A Protestant youngster brings Hook to a local pub that serves as a front for the Loyalists, where he glimpses a Loyalist group in a back room constructing a bomb under the guidance of the Military Reaction Force, the covert counter-insurgency unit of the British Army. ",Civilians,No one,The Catholic Ex-Serviceman's Association,The Irish Republican Army,The Military Reaction Force,4
6,tt2614684,6,Hook steps outside the pub just before an enormous explosion destroys the building. What happens just as Hook leaves the pub?,Hook steps outside the pub just before an enormous explosion destroys the building. ,What happens just as Hook leaves the pub?,Hook steps outside the pub just before an enormous explosion destroys the building. ,An explosion destroys the building next-door to the pub,An explosion destroys the pub,A shootout erupts inside the pub,Some guys get into a fight,A shootout erupts just outside the pub,1
7,tt2614684,7,Hook steps outside the pub just before an enormous explosion destroys the building. Hook flees once more into the dark streets. How does Hook react to the explosion?,Hook steps outside the pub just before an enormous explosion destroys the building. Hook flees once more into the dark streets. ,How does Hook react to the explosion?,Hook steps outside the pub just before an enormous explosion destroys the building. Hook flees once more into the dark streets. ,He flees into the building next door,He goes back into the pub to check for survivors and help the wounded,He finds a payphone and calls the police,He flees into the street,He yells for help,3
8,tt2614684,8,"A Protestant youngster brings Hook to a local pub that serves as a front for the Loyalists, where he glimpses a Loyalist group in a back room constructing a bomb under the guidance of the Military Reaction Force, the covert counter-insurgency unit of the British Army. What does Hook see at the local pub?","A Protestant youngster brings Hook to a local pub that serves as a front for the Loyalists, where he glimpses a Loyalist group in a back room constructing a bomb under the guidance of the Military Reaction Force, the covert counter-insurgency unit of the British Army. ",What does Hook see at the local pub?,"A Protestant youngster brings Hook to a local pub that serves as a front for the Loyalists, where he glimpses a Loyalist group in a back room constructing a bomb under the guidance of the Military Reaction Force, the covert counter-insurgency unit of the British Army. ",A bar fight,A Loyalist group getting drunk in a back room,A Loyalist group constructing a bomb in a back room,A Loyalist group torturing people in a back room,A Loyalist group constructing a gun in a back room,2
9,tt2614684,9,"Two Catholics, Eamon and his daughter Brigid, discover Hook as he lies unconscious in the street. Who finds Hook unconscious in the street?","Two Catholics, Eamon and his daughter Brigid, discover Hook as he lies unconscious in the street. ",Who finds Hook unconscious in the street?,"Two Catholics, Eamon and his daughter Brigid, discover Hook as he lies unconscious in the street. ",Two MRF members,Two tourists,Two Catholics,Two IRA members,Two Protestants,2
